FTM,64.5,1.29,148440,4.03 %,1.24
MCG,104.1,1.81,6590,4.02 %,0.61
VPS,318,13.00,16970,4.00 %,1.16
DAG,352.7,6.81,447940,3.97 %,0.96
TRA,2860.3,69.00,1470,3.76 %,0.44
BHN,16828.7,72.60,3080,3.71 %,1.09
CSV,1242,28.10,229970,3.69 %,0.75
FDC,544.7,14.10,10460,3.68 %,3.34
BCM,41607,40.20,62380,3.65 %,0.71
CTF,970,21.30,68220,3.65 %,0.44
DSN,567.9,47.00,11420,3.52 %,1.15
TEG,150.6,4.65,15210,3.33 %,1.30
HCD,67.8,2.51,177080,3.29 %,0.94
LAF,139.9,9.50,130,3.26 %,0.04
TCH,6951.3,19.15,2133770,3.23 %,0.19
HQC,791.2,1.66,3441960,3.11 %,0.56
TCT,361.9,28.30,12570,3.10 %,0.42
TTB,203.2,4.34,572090,3.09 %,1.34
VHC,8279.5,45.15,643110,3.08 %,0.91
STK,1428.7,20.20,41920,3.06 %,0.36
NVL,62895.1,63.90,2010120,3.06 %,1.26
ST8,266.2,10.35,410,2.99 %,0.09
DRL,517.8,54.50,50,2.83 %,0.02
ACC,130,13.00,116540,2.81 %,2.49
BTT,536.6,38.00,450,2.70 %,0.44
CCI,236.9,13.35,2500,2.69 %,1.22
TS4,57,3.53,10420,2.62 %,1.37
DPM,6986.5,17.85,3295350,2.59 %,1.12
KOS,3107.3,29.95,130190,2.57 %,0.42
GTA,124.8,12.00,130,2.56 %,0.05
FIR,686.8,25.40,75660,2.42 %,0.96
S4A,1164.7,27.60,300,2.41 %,0.09
HHS,1318.8,4.80,2143230,2.35 %,0.80
SAV,255.5,17.50,9660,2.34 %,0.14
LBM,332,33.20,6730,2.15 %,1.45
SJS,2997.7,26.10,74230,1.95 %,0.45
NT2,6793.9,23.60,358160,1.94 %,0.99
DAT,1463,31.80,2800,1.92 %,1.06
GSP,396,11.00,46720,1.85 %,7.83
HUB,298.8,19.60,17970,1.80 %,0.65
HVN,38932.1,27.45,2357600,1.67 %,2.62
ASG,2339,37.10,5730,1.64 %,0.39
SHP,2192.8,23.40,1980,1.63 %,0.33
SBA,904.3,14.95,18980,1.59 %,0.37
SHA,129.2,4.26,5860,1.43 %,0.24
CNG,526.5,19.50,23360,1.30 %,0.58
SJD,1155.7,16.75,34820,1.29 %,0.24
VNE,435.9,4.82,245290,1.26 %,2.85
DCM,6617.5,12.50,2914750,1.21 %,0.83
HTV,167.1,12.75,2310,1.19 %,0.64
CAV,4020.5,69.80,5310,1.16 %,5.92
DHG,13754.5,105.20,5540,1.15 %,0.93
IBC,1835.8,22.50,814940,1.12 %,4.95
